ClosestPairOfPoints,array size,time(ns),comparisons,maxdepth,distance
ClosestPairOfPoints,10,1450743,9,3,444.26143876
ClosestPairOfPoints,100,361489,134,7,23.04061264
ClosestPairOfPoints,500,1418325,556,9,15.44816309
ClosestPairOfPoints,1000,1348920,1120,10,8.01553444
ClosestPairOfPoints,5000,6960358,6527,12,2.87463207
ClosestPairOfPoints,10000,7603131,12990,13,0.81854231
ClosestPairOfPoints,20000,18370830,26096,14,0.47367302
ClosestPairOfPoints,30000,26802487,37160,15,0.07795193
ClosestPairOfPoints,40000,35943668,52273,15,0.11573210
ClosestPairOfPoints,50000,47578953,71136,16,0.18081660
ClosestPairOfPoints,100000,106133349,142749,17,0.02050599
ClosestPairOfPoints,500000,553657300,608395,19,0.01510005
ClosestPairOfPoints,1000000,895142135,1218628,20,0.00680327
