DeterministicSelect,array size,time(ns),comparisons,swaps,maxdepth
DeterministicSelect,10,27790,42,31,0
DeterministicSelect,100,53866,597,420,1
DeterministicSelect,500,229411,2820,1909,3
DeterministicSelect,1000,360587,6186,4167,2
DeterministicSelect,5000,773969,28240,18853,6
DeterministicSelect,10000,1516852,59437,40219,5
DeterministicSelect,20000,1963963,112724,74888,7
DeterministicSelect,30000,2792120,179249,118911,8
DeterministicSelect,40000,9847838,230031,155042,9
DeterministicSelect,50000,1736626,290463,195156,6
DeterministicSelect,100000,2024883,574350,382501,10
DeterministicSelect,500000,10767578,2842749,1894393,9
DeterministicSelect,1000000,21396598,5702125,3797609,10
