QuickSort,array size,time(ns),comparisons,swaps,maxdepth
QuickSort,10,51272,24,13,2
QuickSort,100,86695,553,302,4
QuickSort,500,548915,4353,2272,6
QuickSort,1000,761667,10251,4856,7
QuickSort,5000,872255,72270,40233,7
QuickSort,10000,1142390,152712,71398,8
QuickSort,20000,11776448,335989,192381,8
QuickSort,30000,5593015,577618,305571,9
QuickSort,40000,2845555,749128,388391,9
QuickSort,50000,3440383,964011,498323,10
QuickSort,100000,7003615,2042060,1019362,11
QuickSort,500000,38206878,12057081,6151307,13
QuickSort,1000000,75809303,26744914,12316869,13
